!
18.0,0.0,-70.0,
17.0,3.0,-70.0,
!
18.0,0.0,70.0,
17.0,3.0,-70.0,
17.0,3.0,70.0,
!
17.0,3.0,70.0,
17.0,3.0,-70.0,
16.0,6.0,-70.0,
!
17.0,3.0,70.0,
16.0,6.0,-70.0,
16.0,6.0,70.0,
!
16.0,6.0,70.0,
16.0,6.0,-70.0,
15.0,9.0,-70.0,
!
16.0,6.0,70.0,
15.0,9.0,-70.0,
15.0,9.0,70.0,
!
15.0,9.0,70.0,
15.0,9.0,-70.0,
13.0,11.0,-70.0,
!
15.0,9.0,70.0,
13.0,11.0,-70.0,
13.0,11.0,70.0,
!
13.0,11.0,70.0,
13.0,11.0,-70.0,
11.0,13.0,-70.0,
!
13.0,11.0,70.0,
11.0,13.0,-70.0,
11.0,13.0,70.0,
!
11.0,13.0,70.0,
11.0,13.0,-70.0,
9.0,15.0,-70.0,
!
11.0,13.0,70.0,
9.0,15.0,-70.0,
9.0,15.0,70.0,
!
9.0,15.0,70.0,
9.0,15.0,-70.0,
6.0,16.0,-70.0,
!
9.0,15.0,70.0,
6.0,16.0,-70.0,
6.0,16.0,70.0,
!
6.0,16.0,70.0,
6.0,16.0,-70.0,
3.0,17.0,-70.0,
!
6.0,16.0,70.0,
3.0,17.0,-70.0,
3.0,17.0,70.0,
!
3.0,17.0,70.0,
3.0,17.0,-70.0,
-0.0,18.0,-70.0,
!
3.0,17.0,70.0,
-0.0,18.0,-70.0,
-0.0,18.0,70.0,
!
-0.0,18.0,70.0,
-0.0,18.0,-70.0,
-3.0,17.0,-70.0,
!
-0.0,18.0,70.0,
-3.0,17.0,-70.0,
-3.0,17.0,70.0,
!
-3.0,17.0,70.0,
-3.0,17.0,-70.0,
-6.0,16.0,-70.0,
!
-3.0,17.0,70.0,
-6.0,16.0,-70.0,
-6.0,16.0,70.0,
!
-6.0,16.0,70.0,
-6.0,16.0,-70.0,
-9.0,15.0,-70.0,
!
-6.0,16.0,70.0,
-9.0,15.0,-70.0,
-9.0,15.0,70.0,
!
-9.0,15.0,70.0,
-9.0,15.0,-70.0,
-11.0,13.0,-70.0,
!
-9.0,15.0,70.0,
-11.0,13.0,-70.0,
-11.0,13.0,70.0,
!
-11.0,13.0,70.0,
-11.0,13.0,-70.0,
-13.0,11.0,-70.0,
!
-11.0,13.0,70.0,
-13.0,11.0,-70.0,
-13.0,11.0,70.0,
!
-13.0,11.0,70.0,
-13.0,11.0,-70.0,
-15.0,9.0,-70.0,
!
-13.0,11.0,70.0,
-15.0,9.0,-70.0,
-15.0,9.0,70.0,
!
-15.0,9.0,70.0,
-15.0,9.0,-70.0,
-16.0,6.0,-70.0,
!
-15.0,9.0,70.0,
-16.0,6.0,-70.0,
-16.0,6.0,70.0,
!
-16.0,6.0,70.0,
-16.0,6.0,-70.0,
-17.0,3.0,-70.0,
!
-16.0,6.0,70.0,
-17.0,3.0,-70.0,
-17.0,3.0,70.0,
!
-17.0,3.0,70.0,
-17.0,3.0,-70.0,
-18.0,0.0,-70.0,
!
-9.0,-15.0,70.0,
16.0,6.0,70.0,
-11.0,-13.0,70.0,
!
-11.0,-13.0,70.0,
16.0,6.0,70.0,
-13.0,-11.0,70.0,
!
-9.0,15.0,70.0,
-11.0,13.0,70.0,
-16.0,-6.0,70.0,
!
15.0,9.0,70.0,
-16.0,-6.0,70.0,
16.0,6.0,70.0,
!
16.0,6.0,70.0,
-16.0,-6.0,70.0,
-15.0,-9.0,70.0,
!
16.0,6.0,70.0,
-15.0,-9.0,70.0,
-13.0,-11.0,70.0,
!
15.0,9.0,70.0,
13.0,11.0,70.0,
-16.0,-6.0,70.0,
!
-16.0,-6.0,70.0,
13.0,11.0,70.0,
11.0,13.0,70.0,
!
-16.0,-6.0,70.0,
11.0,13.0,70.0,
9.0,15.0,70.0,
!
-17.0,3.0,70.0,
-18.0,0.0,70.0,
-16.0,6.0,70.0,
!
-16.0,6.0,70.0,
-18.0,0.0,70.0,
-15.0,9.0,70.0,
!
-11.0,13.0,70.0,
-13.0,11.0,70.0,
-16.0,-6.0,70.0,
!
-16.0,-6.0,70.0,
-13.0,11.0,70.0,
-15.0,9.0,70.0,
!
-16.0,-6.0,70.0,
-15.0,9.0,70.0,
-17.0,-3.0,70.0,
!
-17.0,-3.0,70.0,
-15.0,9.0,70.0,
-18.0,0.0,70.0,
!
-9.0,-15.0,70.0,
-6.0,-16.0,70.0,
16.0,6.0,70.0,
!
16.0,6.0,70.0,
-6.0,-16.0,70.0,
-3.0,-17.0,70.0,
!
16.0,6.0,70.0,
-3.0,-17.0,70.0,
0.0,-18.0,70.0,
!
9.0,15.0,70.0,
6.0,16.0,70.0,
-16.0,-6.0,70.0,
!
-16.0,-6.0,70.0,
6.0,16.0,70.0,
3.0,17.0,70.0,
!
-16.0,-6.0,70.0,
3.0,17.0,70.0,
-0.0,18.0,70.0,
!
-0.0,18.0,70.0,
-3.0,17.0,70.0,
-16.0,-6.0,70.0,
!
-16.0,-6.0,70.0,
-3.0,17.0,70.0,
-6.0,16.0,70.0,
!
-16.0,-6.0,70.0,
-6.0,16.0,70.0,
-9.0,15.0,70.0,
!
0.0,-18.0,70.0,
3.0,-17.0,70.0,
16.0,6.0,70.0,
!
16.0,6.0,70.0,
3.0,-17.0,70.0,
6.0,-16.0,70.0,
!
16.0,6.0,70.0,
6.0,-16.0,70.0,
9.0,-15.0,70.0,
!
18.0,0.0,70.0,
13.0,-11.0,70.0,
17.0,-3.0,70.0,
!
17.0,-3.0,70.0,
13.0,-11.0,70.0,
15.0,-9.0,70.0,
!
17.0,-3.0,70.0,
15.0,-9.0,70.0,
16.0,-6.0,70.0,
!
9.0,-15.0,70.0,
11.0,-13.0,70.0,
16.0,6.0,70.0,
!
16.0,6.0,70.0,
11.0,-13.0,70.0,
13.0,-11.0,70.0,
!
16.0,6.0,70.0,
13.0,-11.0,70.0,
17.0,3.0,70.0,
!
17.0,3.0,70.0,
13.0,-11.0,70.0,
18.0,0.0,70.0,
!
0.0,-18.0,-70.0,
-3.0,-17.0,-70.0,
-6.0,16.0,-70.0,
!
-6.0,16.0,-70.0,
-3.0,-17.0,-70.0,
-6.0,-16.0,-70.0,
!
-6.0,16.0,-70.0,
-6.0,-16.0,-70.0,
-9.0,-15.0,-70.0,
!
-3.0,17.0,-70.0,
6.0,-16.0,-70.0,
-6.0,16.0,-70.0,
!
-6.0,16.0,-70.0,
6.0,-16.0,-70.0,
3.0,-17.0,-70.0,
!
-6.0,16.0,-70.0,
3.0,-17.0,-70.0,
0.0,-18.0,-70.0,
!
-3.0,17.0,-70.0,
-0.0,18.0,-70.0,
6.0,-16.0,-70.0,
!
6.0,-16.0,-70.0,
-0.0,18.0,-70.0,
3.0,17.0,-70.0,
!
6.0,-16.0,-70.0,
3.0,17.0,-70.0,
6.0,16.0,-70.0,
!
-9.0,-15.0,-70.0,
-11.0,-13.0,-70.0,
-6.0,16.0,-70.0,
!
-6.0,16.0,-70.0,
-11.0,-13.0,-70.0,
-13.0,-11.0,-70.0,
!
-6.0,16.0,-70.0,
-13.0,-11.0,-70.0,
-15.0,-9.0,-70.0,
!
-15.0,-9.0,-70.0,
-16.0,-6.0,-70.0,
-6.0,16.0,-70.0,
!
-6.0,16.0,-70.0,
-16.0,-6.0,-70.0,
-17.0,-3.0,-70.0,
!
-6.0,16.0,-70.0,
-17.0,-3.0,-70.0,
-18.0,0.0,-70.0,
!
6.0,16.0,-70.0,
9.0,15.0,-70.0,
6.0,-16.0,-70.0,
!
6.0,-16.0,-70.0,
9.0,15.0,-70.0,
11.0,13.0,-70.0,
!
6.0,-16.0,-70.0,
11.0,13.0,-70.0,
13.0,11.0,-70.0,
!
17.0,3.0,-70.0,
9.0,-15.0,-70.0,
16.0,6.0,-70.0,
!
16.0,6.0,-70.0,
9.0,-15.0,-70.0,
6.0,-16.0,-70.0,
!
16.0,6.0,-70.0,
6.0,-16.0,-70.0,
15.0,9.0,-70.0,
!
15.0,9.0,-70.0,
6.0,-16.0,-70.0,
13.0,11.0,-70.0,
!
13.0,-11.0,-70.0,
17.0,-3.0,-70.0,
15.0,-9.0,-70.0,
!
15.0,-9.0,-70.0,
17.0,-3.0,-70.0,
16.0,-6.0,-70.0,
!
17.0,3.0,-70.0,
18.0,0.0,-70.0,
9.0,-15.0,-70.0,
!
9.0,-15.0,-70.0,
18.0,0.0,-70.0,
17.0,-3.0,-70.0,
!
9.0,-15.0,-70.0,
17.0,-3.0,-70.0,
11.0,-13.0,-70.0,
!
11.0,-13.0,-70.0,
17.0,-3.0,-70.0,
13.0,-11.0,-70.0,
!
-18.0,0.0,-70.0,
-17.0,3.0,-70.0,
-6.0,16.0,-70.0,
!
-6.0,16.0,-70.0,
-17.0,3.0,-70.0,
-16.0,6.0,-70.0,
!
-6.0,16.0,-70.0,
-16.0,6.0,-70.0,
-15.0,9.0,-70.0,
!
-15.0,9.0,-70.0,
-13.0,11.0,-70.0,
-6.0,16.0,-70.0,
!
-6.0,16.0,-70.0,
-13.0,11.0,-70.0,
-11.0,13.0,-70.0,
!
-6.0,16.0,-70.0,
-11.0,13.0,-70.0,
-9.0,15.0,-70.0,
!
